"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Contested Possessions","Uncontested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Callan Ward",11677,"GW","WB","1",13,5,11,24,0,2,0,2,1,6,7,3,2,1,0,10,13,0,1,0,2,0,85
"Lachie Whitfield",12143,"GW","WB","1",20,9,14,34,0,0,0,2,3,3,2,7,0,3,0,11,21,0,0,1,1,1,85
"Shane Biggs",12228,"WB","GW","1",13,6,2,15,0,0,0,1,6,2,0,1,0,0,0,0,15,0,0,1,0,0,86
"Marcus Bontempelli",12269,"WB","GW","1",9,1,9,18,0,1,0,5,2,5,4,3,2,1,0,7,11,0,0,1,0,0,86
"Zaine Cordy",12392,"WB","GW","1",8,3,6,14,0,0,0,3,5,0,1,3,2,1,0,8,6,0,0,5,0,0,96
"Hayden Crozier",12088,"WB","GW","1",6,2,2,8,0,0,0,3,1,1,1,4,0,2,0,4,3,1,0,1,0,0,73
"Luke Dahlhaus",11974,"WB","GW","1",10,4,19,29,0,1,0,4,1,3,8,3,1,0,0,12,18,0,0,2,0,0,85
"Bailey Dale",12354,"WB","GW","1",13,6,7,20,1,1,0,1,1,0,1,2,1,0,0,3,15,1,2,1,0,0,85
"Josh Dunkley",12408,"WB","GW","1",9,3,7,16,1,0,0,8,1,2,2,0,0,0,0,5,12,0,1,3,0,0,81
"Tim English",12537,"WB","GW","1",8,6,5,13,0,0,12,3,0,4,2,0,2,0,0,5,8,3,1,6,0,0,89
"Billy Gowers",12593,"WB","GW","1",5,3,5,10,1,0,0,3,0,1,1,5,1,0,0,9,1,2,2,0,0,0,83
"Mitch Honeychurch",12293,"WB","GW","1",10,1,5,15,1,0,0,4,1,3,0,4,2,2,0,4,9,0,1,0,0,1,84
"Lachie Hunter",12203,"WB","GW","1",14,6,18,32,0,1,0,3,2,2,4,4,2,1,0,10,21,0,1,0,2,0,93
"Jason Johannisen",12122,"WB","GW","1",10,3,9,19,0,1,0,0,1,3,1,3,0,0,0,5,14,0,1,1,0,1,80
"Tom Liberatore",11898,"WB","GW","1",2,0,1,3,0,0,0,0,1,0,1,0,1,0,0,1,2,0,0,0,0,0,11
"Jack Macrae",12166,"WB","GW","1",16,5,15,31,0,1,0,6,4,9,5,3,0,3,0,12,18,1,1,1,0,0,84
"Toby McLean",12363,"WB","GW","1",8,1,12,20,0,0,0,4,1,2,8,2,1,0,0,11,8,0,0,2,1,2,84
"Aaron Naughton",12594,"WB","GW","1",9,2,2,11,0,0,0,1,0,3,0,5,3,1,0,3,6,0,0,3,0,0,87
"Fletcher Roberts",12126,"WB","GW","1",12,4,2,14,0,0,0,1,7,0,0,5,1,2,0,2,7,0,0,6,0,0,94
"Jordan Roughead",11833,"WB","GW","1",8,3,4,12,2,1,20,1,1,2,2,2,1,1,0,4,8,0,1,1,0,1,82
"Matt Suckling",11718,"WB","GW","1",13,4,11,24,1,0,0,0,4,4,1,3,1,0,0,6,16,0,0,2,1,0,83
"Jackson Trengove",11812,"WB","GW","1",0,0,4,4,0,0,14,3,1,0,0,1,0,1,0,3,1,0,0,2,0,0,84
"Bailey Williams",12441,"WB","GW","1",8,2,4,12,0,1,0,3,2,3,1,2,2,0,0,5,6,0,0,1,0,0,79
"Easton Wood",11788,"WB","GW","1",5,3,2,7,0,0,0,0,1,2,1,2,0,0,0,2,4,0,0,0,0,0,88
"Bayley Fritsch",12598,"ME","GE","1",7,6,4,11,1,1,0,5,0,3,0,3,0,0,0,4,8,1,2,2,2,0,87
"Jeff Garlett",11711,"ME","GE","1",5,2,3,8,1,2,0,2,0,0,0,1,1,0,0,7,1,1,2,0,0,1,84
"Max Gawn",11966,"ME","GE","1",8,4,12,20,1,2,47,5,0,3,4,2,3,0,0,12,8,3,1,2,0,0,84
"Mitch Hannan",12492,"ME","GE","1",6,2,3,9,1,1,0,1,0,2,0,2,0,1,0,5,5,0,1,0,0,0,72
"James Harmes",12379,"ME","GE","1",13,3,5,18,0,2,0,4,1,7,6,1,4,1,0,9,11,0,0,1,2,1,66
"Michael Hibberd",11938,"ME","GE","1",12,2,8,20,0,0,0,0,4,3,0,4,1,1,0,3,18,0,0,6,3,0,81
"Jesse Hogan",12321,"ME","GE","1",8,3,8,16,3,0,0,1,0,6,0,4,0,1,0,6,11,0,1,0,0,0,89
"Jayden Hunt",4729,"ME","GE","1",11,4,7,18,0,1,0,3,2,7,2,2,1,1,0,9,11,1,0,2,0,1,86
"Neville Jetta",11723,"ME","GE","1",5,2,6,11,0,0,0,5,0,0,0,3,1,2,0,4,7,0,0,4,1,0,85
"Nathan Jones",2447,"ME","GE","1",10,1,19,29,0,0,0,3,0,6,3,2,0,0,0,7,21,0,0,0,0,0,76
"Jake Lever",12351,"ME","GE","1",8,3,2,10,0,0,0,2,5,1,0,1,1,0,0,2,7,0,0,5,1,0,94
"Jordan Lewis",4077,"ME","GE","1",6,4,18,24,0,0,0,3,1,3,4,3,1,1,0,10,14,0,0,1,0,0,91
"Corey Maynard",12572,"ME","GE","1",5,0,10,15,0,0,0,7,0,4,5,4,2,1,0,5,9,0,0,1,0,0,75
"Oscar McDonald",12394,"ME","GE","1",8,1,4,12,0,0,0,0,2,1,0,2,0,1,0,3,7,0,0,2,0,0,100
"Jake Melksham",11820,"ME","GE","1",9,3,6,15,0,1,0,0,0,4,1,3,0,1,0,8,7,0,0,1,0,1,67
"Alex Neal-Bullen",12367,"ME","GE","1",11,1,2,13,2,0,0,2,0,1,3,5,2,3,0,5,8,0,0,0,0,0,75
"Clayton Oliver",12410,"ME","GE","1",9,3,19,28,1,0,0,10,0,3,6,4,0,2,0,14,13,0,1,4,0,1,85
"Cameron Pedersen",11903,"ME","GE","1",6,1,7,13,2,1,4,4,1,1,0,2,1,0,0,5,6,1,1,3,0,0,89
"Christian Petracca",12430,"ME","GE","1",14,3,10,24,1,3,0,4,1,5,7,3,2,0,1,13,11,0,1,3,0,1,88
"Christian Salem",12272,"ME","GE","1",5,0,7,12,0,0,0,4,0,2,3,2,1,1,0,10,2,0,0,1,0,0,73
"Bernie Vince",4151,"ME","GE","1",13,2,4,17,0,0,0,3,2,2,0,2,2,0,0,4,12,0,0,4,0,0,70
"Josh Wagner",12424,"ME","GE","1",6,2,9,15,0,0,0,4,1,0,0,3,3,0,0,10,7,0,0,3,0,0,84
"Gary Ablett",1105,"GE","ME","1",22,5,17,39,1,1,0,1,1,7,2,8,0,3,3,10,29,0,0,2,1,1,93
"Jed Bews",12278,"GE","ME","1",6,4,4,10,0,0,0,1,1,0,1,0,0,0,0,3,7,1,0,6,0,0,85
"Mark Blicavs",12153,"GE","ME","1",2,1,7,9,0,0,1,4,1,1,1,1,1,1,0,4,6,0,0,4,0,0,94
"Mitch Duncan",11798,"GE","ME","1",15,10,11,26,0,0,0,4,3,1,2,3,0,1,0,7,19,0,0,1,0,0,86
"Lachie Fogarty",12596,"GE","ME","1",8,4,12,20,1,0,0,2,0,0,1,1,1,1,0,10,10,1,0,1,0,1,79
"Cory Gregson",12320,"GE","ME","1",5,2,6,11,0,0,0,3,2,1,0,3,0,1,0,3,9,0,0,0,0,1,84
"Cameron Guthrie",11884,"GE","ME","1",11,3,9,20,1,0,0,0,3,0,1,2,0,2,0,5,13,0,0,3,0,0,88
"Zach Guthrie",12551,"GE","ME","1",14,6,8,22,0,0,0,2,2,2,0,1,0,0,0,6,15,0,0,3,1,1,82
"Tom Hawkins",11548,"GE","ME","1",8,6,6,14,0,1,1,1,0,0,1,4,2,1,0,7,6,2,1,2,0,0,93
"Tim Kelly",12595,"GE","ME","1",10,3,17,27,1,0,0,2,0,6,4,2,0,2,0,13,16,1,0,3,1,1,91
"Jake Kolodjashnij",12370,"GE","ME","1",10,5,10,20,0,1,0,1,4,2,0,2,0,0,0,8,11,2,0,6,0,0,85
"Sam Menegola",12464,"GE","ME","1",8,4,10,18,0,0,0,6,4,1,5,5,1,4,0,8,12,0,0,2,0,0,80
"Daniel Menzel",11873,"GE","ME","1",11,6,4,15,4,2,0,0,0,3,0,2,0,0,0,9,6,4,5,1,0,1,82
"Jordan Murdoch",12099,"GE","ME","1",13,5,11,24,1,1,0,5,6,2,1,6,3,0,0,7,17,0,0,1,0,0,84
"Brandan Parfitt",12506,"GE","ME","1",13,3,9,22,2,2,0,4,2,5,2,0,5,0,0,10,12,0,1,1,0,0,87
"James Parsons",12513,"GE","ME","1",8,8,9,17,1,1,0,2,2,2,2,1,0,1,0,5,13,0,2,0,0,2,85
"Esava Ratugolea",12597,"GE","ME","1",5,5,3,8,1,1,5,0,0,1,1,4,0,3,0,2,7,0,2,0,0,0,68
"Joel Selwood",11538,"GE","ME","1",17,4,22,39,0,2,0,5,1,3,8,5,2,3,2,13,27,0,0,2,0,1,80
"Zac Smith",11909,"GE","ME","1",3,3,8,11,1,0,23,2,1,1,4,4,1,3,0,7,5,0,1,1,0,1,70
"Tom Stewart",12505,"GE","ME","1",11,7,6,17,0,0,0,0,6,1,0,0,0,0,0,5,10,2,0,6,0,0,86
"Harry Taylor",11643,"GE","ME","1",2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,20
"Zach Tuohy",11973,"GE","ME","1",18,7,7,25,0,0,0,0,6,2,0,5,1,0,0,5,16,0,0,2,1,0,97
"Harry Cunningham",12015,"SY","WC","1",4,2,6,10,0,0,0,6,0,1,1,1,1,0,0,7,4,1,0,0,0,1,74
"Oliver Florent",12497,"SY","WC","1",2,0,4,6,0,0,0,2,0,2,0,0,2,0,0,2,4,0,0,0,0,1,67
"Robbie Fox",12510,"SY","WC","1",6,0,4,10,0,0,0,2,2,1,1,2,1,0,0,6,4,0,0,4,0,1,81
"Lance Franklin",4065,"SY","WC","1",17,9,4,21,8,1,0,4,0,6,0,2,3,1,3,9,11,3,5,4,0,1,89
"Heath Grundy",1401,"SY","WC","1",4,1,3,7,0,0,0,0,4,0,0,3,0,2,0,2,5,0,0,6,0,0,76
"Will Hayward",12509,"SY","WC","1",11,5,10,21,2,1,0,0,1,3,0,6,1,1,0,6,12,0,1,2,0,0,75
"Isaac Heeney",12326,"SY","WC","1",13,4,13,26,1,1,0,4,2,4,4,4,1,1,0,7,19,0,1,4,0,1,85
"George Hewett",12411,"SY","WC","1",9,6,10,19,1,1,0,2,0,4,1,1,2,0,0,11,10,2,1,2,0,1,75
"Kieren Jack",11546,"SY","WC","1",14,4,5,19,1,0,0,2,1,7,2,2,0,2,0,5,17,0,1,0,0,2,66
"Zak Jones",12288,"SY","WC","1",10,3,10,20,1,0,0,2,1,6,5,4,1,2,0,11,13,1,0,1,0,0,87
"Josh Kennedy",11672,"SY","WC","1",10,3,14,24,1,1,0,3,1,3,9,3,0,2,0,12,9,0,0,0,0,0,83
"Jake Lloyd",12268,"SY","WC","1",19,8,10,29,1,0,0,2,8,1,1,0,0,0,1,5,24,0,0,2,0,0,94
"Jarrad McVeigh",3950,"SY","WC","1",7,1,7,14,0,0,0,1,3,0,1,0,0,0,0,2,11,0,0,1,0,0,80
"Lewis Melican",12526,"SY","WC","1",7,2,7,14,0,0,0,2,2,1,0,2,0,0,0,6,5,0,0,6,0,1,89
"Callum Mills",12413,"SY","WC","1",13,5,7,20,0,0,0,5,5,0,1,1,4,0,0,9,11,0,0,4,0,0,94
"Nic Newman",12508,"SY","WC","1",10,4,9,19,0,0,0,2,3,3,1,6,2,1,0,8,11,0,0,1,0,0,75
"Tom Papley",12412,"SY","WC","1",8,5,9,17,0,1,0,3,1,2,2,3,2,3,0,8,9,0,0,2,3,0,79
"Luke Parker",11953,"SY","WC","1",17,3,15,32,1,0,0,9,2,3,7,6,1,2,2,18,11,1,0,4,0,2,85
"Dane Rampe",12140,"SY","WC","1",9,6,4,13,0,0,0,2,4,0,0,3,1,1,0,2,11,0,0,7,0,0,87
"Callum Sinclair",12158,"SY","WC","1",13,3,8,21,0,0,16,1,2,3,8,0,3,0,0,13,9,0,0,3,0,1,82
"Nick Smith",11653,"SY","WC","1",10,7,9,19,0,0,0,3,3,0,0,2,2,2,0,7,12,0,0,0,0,0,99
"Dean Towers",12297,"SY","WC","1",6,1,6,12,1,1,1,5,1,2,3,1,1,1,0,5,8,0,0,0,0,1,78
"Tom Barrass",12383,"WC","SY","1",15,8,5,20,0,0,0,1,5,0,0,3,0,2,0,7,12,2,0,10,0,0,85
"Jamie Cripps",11937,"WC","SY","1",11,1,5,16,0,0,0,1,1,5,2,1,0,0,0,6,10,0,0,1,0,2,79
"Jack Darling",11905,"WC","SY","1",7,5,5,12,3,0,1,4,0,5,0,0,0,0,0,5,7,2,2,1,0,0,95
"Liam Duggan",12334,"WC","SY","1",8,1,2,10,1,0,0,2,2,4,0,1,0,0,0,3,6,0,0,0,0,0,78
"Andrew Gaff",11904,"WC","SY","1",15,5,9,24,0,0,0,4,2,3,1,1,2,0,0,6,17,1,0,1,0,1,89
"Shannon Hurn",4162,"WC","SY","1",20,10,3,23,1,1,0,3,5,4,0,2,0,2,0,4,16,1,1,0,0,0,87
"Lewis Jetta",11804,"WC","SY","1",13,4,3,16,0,0,0,1,4,4,0,8,0,1,0,1,13,0,0,2,1,0,87
"Mark LeCras",4114,"WC","SY","1",13,4,3,16,3,2,0,9,0,1,2,4,2,1,0,5,9,0,2,0,0,0,90
"Scott Lycett",11994,"WC","SY","1",6,2,4,10,0,0,32,1,2,1,3,7,2,5,0,7,4,0,0,1,0,0,71
"Chris Masten",11638,"WC","SY","1",10,4,5,15,1,0,0,0,0,6,0,4,0,3,0,5,9,0,0,0,0,1,88
"Jeremy McGovern",12273,"WC","SY","1",11,9,7,18,0,0,0,2,2,1,0,3,2,0,0,7,12,2,0,2,0,0,81
"Nic Naitanui",11768,"WC","SY","1",9,3,3,12,1,1,33,3,1,1,4,1,2,1,0,8,4,2,1,6,0,1,54
"Jackson Nelson",12328,"WC","SY","1",4,0,1,5,0,1,0,2,1,2,1,4,2,3,0,5,2,0,0,1,0,0,86
"Jack Redden",11780,"WC","SY","1",7,3,11,18,0,0,0,6,0,2,5,4,1,2,0,10,8,0,0,0,0,0,86
"Liam Ryan",12600,"WC","SY","1",9,3,3,12,1,1,0,1,0,2,1,3,1,1,0,6,4,1,1,0,1,1,70
"Will Schofield",11605,"WC","SY","1",5,4,3,8,0,0,0,1,0,1,0,1,1,1,0,1,6,0,0,4,0,0,90
"Dom Sheed",12253,"WC","SY","1",15,2,8,23,0,0,0,1,0,6,6,3,0,2,0,13,9,0,0,1,0,0,80
"Brad Sheppard",11843,"WC","SY","1",6,4,9,15,0,0,0,5,1,0,0,2,1,0,0,8,8,0,1,3,0,1,85
"Luke Shuey",11805,"WC","SY","1",16,4,9,25,0,1,0,6,0,7,7,1,2,1,0,9,15,0,0,1,1,0,88
"Daniel Venables",12602,"WC","SY","1",4,1,3,7,0,0,0,4,0,2,1,3,2,2,0,6,4,0,0,0,0,0,61
"Jake Waterman",12601,"WC","SY","1",4,2,4,8,1,0,0,3,0,1,1,0,0,0,0,4,4,0,1,1,0,0,80
"Elliot Yeo",12087,"WC","SY","1",18,5,8,26,1,0,0,4,6,2,4,4,0,1,0,12,13,0,0,1,0,0,91
